date,bank,useful_count,rating,review,sentiment
"Mar 19, 2020",HDFC Bank,26,5,I am using HDFC saving account for more than 5 years. When I joined my previous company they made me to open a salary account with this bank. Later I resigned that job so now converted to saving account. Need to maintain a minimum balance of 10K its kind high if not maintain an amount charges are final. I get calls from banker if they provide any offers  for other products.,positive
"Mar 19, 2020",SBI,41,4,"SBI has best Internet banking and its very fast and easy to access any one. I am using this savings account more than 10 years,  if i withdrawal cash more than 5 time no charges. Mostly i am not taking cash at ATM.  I am doing more transcation, so no need to maintain minimum balance and getting immediate response from customer service Bank employees attitude must be change.",positive
"Mar 19, 2020",Axis Bank,29,4.5,I am holding a salary account with AXIS bank past  2.5 years. I got an immediate alert message on time. I am using mobile app and net banking both are user friendly to access. I need to pay 500 rupees around  for SMS charge and account service on yearly basis.,positive
"Mar 19, 2020",SBI,34,4,I am using saving account from SBI almost 7-8 years.  Minimum amount need to maintain of 1-5K on monthly basis.  I get only OTP number on time but once the amount debited or credited I wont get any message from their end. I am using  net banking and it is good to access.  There is some charge of 500 rupees on yearly need to pay.,positive
"Mar 19, 2020",HDFC Bank,24,4,I have Hdfc bank salary account for the past 3 to 4 years . I am using mobile  banking service is used for all transactions and money transfer .If contact customer service for any query then wil be getting good response .I am satisfied with the overall banking service .,positive
"Mar 19, 2020",SBI,17,5,"I maintain salary cum saving account with SBI. On 2015, my company has suggested to opened an account. Need to maintain a minimum balance of 3K. There is no hidden charge. On quarter basis SMS charge is applicable of 12 - 15 rupees. ATM charges are applicable if I cross more than 5 times in a month of 40 rupees.",positive
"Mar 18, 2020",IndusInd Bank,20,4,I maintain a saving account with INDUSIND for the past 1 year. I no need to maintain a minimum balance account. Since my friend is working as a executive and he has recommend to open an account with them. Hence I chosen it. I use this account for the transaction. I use to get offers message from their end.,positive
"Mar 18, 2020",Axis Bank,9,4.5,AXIS has given an option to maintain a account with them and I am holding for past 12 years. On yearly basis charge is applicable of 15 to 30 rupees and it will be reflecting in statement as well. ATM and branch services are good. Whenever they provide offers I use to get by message.,positive
"Mar 18, 2020",SBI,15,4,"Since 11 years, i am using this SBI account which am very convenient. I received an offer for a zero balance account and the ATM facilities are near. The customer service was good . Even the responses are proper at the branch and am okay with the interest rate too.",positive
"Mar 18, 2020",HDFC Bank,9,4,"I am holding salary account with HDFC Bank for the past 7-8 months . Since its this a salary account, no need to maintain a minimum balance amount. I am not using atm since i have paytm service  and mobile app which are quite easy to access. When ever, i log into it am getting a blank screen that need to be changed. The customer service is  good and responding properly.",positive
"Mar 18, 2020",Kotak,17,5,I have opened my savings account from Kotak Mahindra bank more than 2.5 years and am making all transaction through this bank account. They have provided me a zero balance account.  I can find their branch's in all the places. They are not taking any kind of hidden charges.,positive
"Mar 18, 2020",HDFC Bank,9,5,My salary account is maintained with HDFC Bank for nearly 10 years and till now there was no issues. Its a friendly bank according to my experience. I am using the online service which is very good. Their customer service was good but fixed deposit interest rates was less.,positive
"Mar 18, 2020",SBI,13,3,"I have been using saving account with SBI for the past 7 years. I have visited the branch to open an account, but their service is not much satisfied. I need to maintain a minimum balance of 2K on monthly basis if not charges are applicable which is high. There is some hidden charge, they use to detect some amount on quarterly.",neutral
"Mar 18, 2020",SBI,11,4,"I am maintaining my savings account with SBI, i have been using more than 10 years. This is only savings account, so i need to maintain minimum balance of Rs. 1000 for cash withdrawal, shopping i am receiving alert message and this bank has a very good app. I didn't interact with the customer service till date. Rest all good with this bank.",positive
"Mar 18, 2020",HDFC Bank,10,5,I use to get my salary from HDFC bank because my company has given an option only from this bank. I am using this account past 5 years. So far I haven't faced any additional or hidden charge. No need to maintain a minimum balance account. ATM charges are applicable if I done a transactions  more than 5 times in a month.  I would suggest to provide more product offer.,positive
"Mar 17, 2020",Kotak,17,4,I maintain my savings account  with KOTAK bank for more than 2 years. There is no hidden charges in this bank. When I visit online at that time I came to know this bank has offered a zero balance account so I chosen it. I am not getting any offers message from bank end.,positive
"Mar 17, 2020",SBI,10,4,Past 9 years I maintain my saving account with SBI. The branch and ATM services are fine. Whenever contact the customer service is good and responsive. I use to get offer message from their end. So far there is no any hidden charge in this account. Though its saving account I no need to maintain a minimum balance amount.,positive
"Mar 17, 2020",Canara Bank,23,3,I am not getting an alert message from CANARA bank whenever I do a transaction from their end. So they need to provide better option to the customer to check the account balance details. I use to visit branch and get good response from their end. I am holding a saving account for the past 6 years.,neutral
"Mar 17, 2020",HDFC Bank,12,5,I maintain my salary cum saving account with HDFC bank for more than a year. No need to maintain a minimum balance account. So far there is no any hidden charges. I can do transaction upto 40K. I use mobile app and net banking service both are good.  On time I get alert message from bank for each transaction.,positive
"Mar 16, 2020",Canara Bank,19,4,"Canara Bank has a very good app and also internet banking is very user friendly. This is a salary cums savings, no need to maintain a minimum balance. If i withdrawal cash or done shopping, i am getting alert messages from bank end and they given me a domestic debit card.",positive
"Mar 16, 2020",Axis Bank,14,5,I am maintaining minimum balance of Rs. 250 + GST for Axis Bank savings account and debit card. Since 5 years i am holding this account apart from this there is no hidden charges . This bank has a good customer service and the rate of interest was nominal.,positive
"Mar 16, 2020",SBI,16,5,"SBI has a very good application, since i am using this savings account more than 7 years. No need to maintain minimum balance,  because this is a salary comes savings account. For cash withdrawal and all i am getting instantly alert text.  I am not getting any offer message from bank and their service was good.",positive
"Mar 16, 2020",HDFC Bank,8,5,"More than 8 years, i have been using the salary account from HDFC bank. I went to their branch for cash deposit or withdrawal and the response is good. Its a zero balance maintenance account. Their Internet banking facility and mobile app is user friendly. They don't charge me any hidden charges. There is charge of Rs. 5 for IMPS transactions.",positive
"Mar 15, 2020",SBI,9,5,I have been holding an account for a saving with SBI for more than 5  years. There is no hidden charges in this bank. It is a zero balance account. I am not using mobile app and net banking and i am not getting an alert messages from bank whenever I do a transactions. ATMs and branches are near to reach them directly.,positive
"Mar 15, 2020",Axis Bank,10,5,I am holding a savings with AXIS bank quite for a long time. There is no hidden charges in this bank. I am maintaining Rs. 10k minimum  balance account. I am using mobile app and Internet banking and it is user friendly to access. ATM and branches are near.,positive
"Mar 15, 2020",HDFC Bank,9,5,"Since 12 years, i am using HDFC Bank savings account. This is a salary cums savings so no need to maintain minimum balance and this bank has a good app and user friendly. ATM facility is near and their service was good. When ever i do shopping i am getting instantly alert messages.",positive
"Mar 15, 2020",HDFC Bank,13,5,"I am using HDFC Bank Salary account for the past 8 years and the net banking, mobile banking service is good which I used to  check all  transactions details. Banking  service is also  comfortable and  good. Each transaction is safe  and using this account much frequently.",positive
"Mar 15, 2020",HDFC Bank,15,4.5,"HDFC Bank i am maintaining savings account this is a salary cums savings so no need to maintain minimum balance. This bank has a good app is and its fine to use. When ever i withdrawal cash i am getting alert message instantly  , atm service is very near.",positive
"Mar 14, 2020",Citibank,8,5,"Taken my savings account from CITI Bank and  i am using this account more than 10 years. The branch is available near to my home, i am using their online banking facility and its very good to use. They are not deducting any hidden charges and i need to maintain a minimum balance of Rs. 1L compulsory, need to decrease that.",positive
"Mar 14, 2020",Axis Bank,11,3,"I am doing all my transactions through AXIS Bank. Its been 1.5 years, am using this savings account. Am keeping minimum balance on a monthly basis Rs.10k, if not they putting lots of charges. The branch is near by to my residence, once I went to the bank to link my Aadhar card.",neutral
"Mar 14, 2020",Axis Bank,10,5,My savings account is maintained with AXIS Bank and this is a salary cum savings no need to maintain minimum balance. AXIS Bank has a very good application but i am using it with other bank because this is only salary account.This bank has a good customer service.,positive
"Mar 13, 2020",HDFC Bank,10,5,"2 years before, i have purchased the savings account from HDFC. When my son bought a home loan, they have given this account to me. They will calculate a average balance once in 3 months with the amount of Rs. 10000. Sometimes, i used to visit the branch for general enquiry but the branch was more crowded for most of the times.",positive
"Mar 13, 2020",HDFC Bank,12,5,"Long  back i am using savings account from HDFC Bank. Its a zero balance account since this salary cums savings, when ever i withdrawal  cash getting alert messages and this application was good.  HDFC Bank has a good customer service and they responding properly.",positive
"Mar 13, 2020",HDFC Bank,10,3,"3 years back, i have opened the salary account from HDFC because i had my existing savings account with HDFC around 5 years before after that i have converted into salary account. I am maintaining a minimum balance of Rs. 2500. Maximum ATM withdrawal limit is Rs. 25000. They don't deduct any hidden charges.",neutral
"Mar 13, 2020",Axis Bank,9,5,I am holding a savings with account with AXIS bank for more than 1.5  years. There is no hidden charges in this bank. It is a zero balance account. I am using mobile app and Net banking  it is user friendly to access. ATM and branches are near to my residence.,positive
"Mar 13, 2020",HDFC Bank,9,5,"From HDFC Bank ,  i am maintaining minimum balance of Rs. 20,000. I am using this savings account quite for a long time and this bank has good ATM facilities. When ever i do cash withdrawal instantly i am getting alert messages and they given international debit card.",positive
"Mar 12, 2020",Axis Bank,29,0.5,"Axis bank has limited options in menu of Customer support, this means they do not welcome any other query apart from set menu, their phone banking numbers are useless they doesnt provide any extra info or let us speak to customer support executive. Neither there is option to write a mail regarding our issue.We have to directly visit bank branch which is not always possible as the office time of the branch and our work time are same. Do they expect us to visit branch for every issues to get resolved. aleast let us write about our issue.This is really disgusting. And i wasted my time calling customer support and downloaded app for solution but there also they have limited options. There are more issues we face such as non deduction( auto debit) of set payments on decided date . where should we complain. Should we pay penalty for non payments on due date by bank and take off from our office to visit axis bank branch to report work not done by the bank.",negative
"Mar 12, 2020",SBI,13,4,"Almost 4 years back, i went to the SBI branch and opened the savings account because they have a good credibility in the market. Earlier i need to hold a minimum balance of Rs. 1000 and now that has been not required. Its convenient to use the net banking and mobile app facility. I find the ATMs even in remote areas.",positive
"Mar 12, 2020",Citibank,10,4,Opened my salary account from CITI bank before 2 years. I never had any hassles till now. There is no criteria to maintain any minimum balance. Its good to use the net banking and mobile app facility. Only once i have visited their branch for signature verification and the response was good in the branch.,positive
"Mar 12, 2020",Axis Bank,10,5,I am holding a savings account  in AXIS bank for more than 1.5 years. Through online I opened an account. There is no hidden charges in this bank. It is a zero balance account. ATMs and branches are near to reach them directly. i am getting good offer message. SMS charge is applicable of 15 rupees.,positive
"Mar 12, 2020",SBI,10,2,I am holding a saving account with SBI bank for more than 5 years. There is no hidden charges in this bank. It is user friendly to access mobile app. Need to maintain a minimum balance for this account of 5K. I get an alert messages from bank whenever I do a transactions.,negative
"Mar 12, 2020",Axis Bank,1,2,I am having a salary account with AXIS bank for just 3 months back. There is no hidden charges in this bank. It is a  zero balance account. I am using mobile app and it is user friendly to access. I use this account only for transact the amount. Mostly do online transaction rather than ATM.,negative
"Mar 12, 2020",Axis Bank,0,5,"I have opened Axis bank salary account last 3 years ago.          I have to maintain a minimum balance of Rs. 10,000 even though its salary account. They don't take any hidden charges. Its comfortable to use the net banking and mobile app facility. I have no idea about the other bank ATM withdrawal charges.",positive
"Mar 12, 2020",HDFC Bank,0,5,I maintain my saving account from HDFC bank  just  4 months back. Since my friend has suggested and mean while  in my future I am going to take home loan so opened an account. Need to maintain minimum charge of 5K  which is nominal.  I am getting offers message from their end.  i get alert message on time from bank end for each transaction.,positive
"Mar 12, 2020",SBI,1,5,I have been holding a salary account with SBI approximately  13 yeas. I need to maintain a minimum balance of  around 10K. There is some SMS  and  ATM charges are applicable on quarterly up to 70 rupees. Mobile app is fine to use.  ATM and branches services are good.,positive
"Mar 12, 2020",Kotak,1,4,"Recently i have opened the savings account from Kotak Mahindra bank but i have not made any transaction from this account. They have provided me a zero balance account. To get a valid address proof, i have opened this account. I can find the branches in all the places. They are not taking any kind of hidden charges.",positive
"Mar 12, 2020",IndusInd Bank,5,5,At earlier in my previous company  they have provided a salary account from Indusind bank. They don't take any charges for other ATM withdrawal. They don't deduct any hidden charges. I have been using the mobile app of this bank and its better to use. Its a zero balance account to use.,positive
"Mar 12, 2020",SBI,0,5,"Overall I have been using State Bank account for more than 8 years but for past 1 year, I have been using it as a salary account anyway i need to maintain a minimum balance of Rs. 5,000. Chosen this bank because when i was in native i opened this account because to do the deposit, its a easy way because of the cash deposit machine and i can do most of my transactions through their app.",positive
"Mar 12, 2020",Axis Bank,1,3,"Axis bank have a good customer care because they are interacting the customer in a polite way. My friends referred me about this bank hence I chose this bank for my savings account. Its a zero balance account to use. Its nice to use the net banking facility. Overall, I'm happy about the service.",neutral
"Mar 11, 2020",SBI,1,4,I am using SBI salary account which is used very frequently.I am using this account for the past 3 years only .I am using net banking as well as mobile banking service both are very user friendly and  these are used for money transfer as well as credit card bill payment .customer service is also good to me and there was no drawbacks faced so far.,positive
"Mar 11, 2020",Canara Bank,8,4,I opened my savings account from CANARA bank and I have been using for last 6 years. Chosen this account in my home town because the branch is located to nearby my place. Executive response was good and I need to hold a minimum balance of Rs. 1000. Their app facility is convenient to use. I could find branches and ATM in all the places.,positive
"Mar 11, 2020",SBI,3,5,"Before 1.5 years, i have opened the salary account with State Bank of India. Bank account is convenient to use. They have given me a zero balance account. I went to their branch for getting a passbook and to get a ATM card as well and the response is okay. We have a branch which is a cashless one so branch was not crowded.",positive
"Mar 11, 2020",Kotak,2,5,Its going to be 5 years since I'm using the savings account from Kotak Mahindra bank because i like their service and my salary also getting credited to this account. I'm fine with the net banking and mobile app facility. I just visited the branch once for changing my mobile number and their service is very good in their branch also.,positive
"Mar 11, 2020",SBI,1,5,"When compared to earlier, now SBI is providing good service. I have been holding this account for more than 3-4 years and which have opened for my personal use. No need to maintain a minimum balance account. The branch service is fine and near from my home to reach.",positive
"Mar 11, 2020",HDFC Bank,0,5,Using my savings account with HDFC bank for almost 5 years. I am maintaining a minimum balance of Rs. 2500 which is mandatory even though its a salary account. Sometimes I'm facing a issue like they are charging me a high amount if I'm not maintaining the balance. I can find the branches in all the places.,positive
"Mar 10, 2020",Canara Bank,8,5,Canara Bank before I was using as salary account but after shifting my company cannot use this account for further and I am yet to  convert into saving account. I am holding account  for past 10 years. There is SMS charge applicable of 12 rupees which is nominal. ATM charge is 22 rupees. I am using both mobile app and net banking are user friendly to access.,positive
"Mar 10, 2020",HDFC Bank,0,5,I am holding salary account with HDFC past 1 year. Since its salary account  no need to maintain a minimum balance amount. I can do transaction of  5 times if exceed ATM  charges of 22 rupees. Mobile app is not user friendly and I am facing server issue.  The customer service is not good in response.,positive
"Mar 10, 2020",HDFC Bank,1,3,I am holding a savings account  for my personal need in HDFC  bank for more than 4 years. There is no hidden charges in this bank. Need to maintain a minimum balance amount of 10K in account if not charges are applicable of 800 rupees plus GST. I am using net banking and it is user friendly to access.,neutral
"Mar 10, 2020",Kotak,1,4,"Recently I opened a saving account from KOTAK bank on last December and I need to maintain a minimum amount of 10K. It is 811 online saving account with nominal charges of 5%, Atm and branch's are near from my home. So far I got 2 -3 times offer messages from their end.",positive
"Mar 10, 2020",Axis Bank,1,5,My savings account was chosen in Axis bank and i have opened the account in the year of 2013. It was my previous company salary account after that i have converted into savings account. Its a zero balance account to use. Branch response was good and the staffs are very helpful. I find the branches and ATMs in almost all the places.,positive
"Mar 10, 2020",HDFC Bank,0,4,"10 years ago, i have opened the salary account from HDFC and it was offered by my company. I don't need to maintain any minimum balance. Its very good use the net banking facility. I have visited their branch and the response is good. The branch is not that much crowded. Only drawback is I can do only limited transaction from other bank ATM.",positive
"Mar 10, 2020",HDFC Bank,0,4,"I have opened the salary account about 6 years ago. I have never faced any issues till now. If i have any questions, its a long way of connecting with them and sometimes, they used to hung up the call while customer is talking. Its fine to use the net banking facility and they don't charge me any hidden charges. The transactions are smooth.",positive
"Mar 10, 2020",SBI,2,4,"My savings account was opened in SBI, last 5 years ago because Prime Minister Modi asked every citizen from India needs to open an account in State Bank of India. When i was opened the account, there is no minimum balance is to be maintained but after 2 years, they asked me to hold a minimum balance of Rs. 5000 but they don't deduct any hidden charges.",positive
"Mar 10, 2020",HDFC Bank,0,5,I maintain my salary  account from HDFC past 9-10 months.  I got an option to open account from my company. The branch is 2KM distance from my home. Atm service is good. Really good at their own place. I am getting good  loans and card offers from their end.,positive
"Mar 10, 2020",SBI,2,5,"I am having my saving account for past 9-10 years. Since  most of my family members opened an account here and service is good so I preferred this bank. I need to maintain minimum amount of  3K, if not minimum charge applicable of 15 rupees for 3 months once.  The branch is quite far from my place. I am not getting any offers so far.",positive
"Mar 10, 2020",IDBI,10,2,IDBI bank account benefits are not good hence i rarely use this account now. My savings account was opened in the year of 2012. Its a zero balance account to use. They don't have any mobile app facility. Branch response was not that much good when i visit the branch to open the account and lot of hassle was there.,negative
"Mar 10, 2020",SBI,1,5,"When i was doing my studies, i have opened the savings account from State Bank of India. From my college itself, they have opened this account because branch is available on my campus. I need to maintain a minimum balance of Rs. 2500. The branch response was good when i was visited 2 years before.",positive
"Mar 09, 2020",HDFC Bank,0,5,"When I was working in previous company, they had opened a salary account from HDFC Bank and I maintain it for the past 1 year. But suddenly I changed to other company so opened other account for salary. I am yet to convert HDFC account into savings. As of now, this is in active and I didn't come across any hidden charge from this bank.",positive
"Mar 09, 2020",Axis Bank,1,4,AXIS has provided a chance to open a salary account and I maintain for past 6 months. There is no hidden charges in this bank. It is a  zero balance account. I use to get an alert message on time  from bank whenever I do a transactions. There is no proper follow up because few months before I was applied a loan but no update from their end for further.,positive
"Mar 09, 2020",Axis Bank,0,5,I have a salary account with AXIS bank for more than 3 years. There is no hidden charges in this bank. It is a  zero balance account. It is easy to access mobile app and net banking. I use to get an alert message and mail  from bank whenever I do a transactions. I use to get card offers only not for any loans.,positive
"Mar 08, 2020",SBI,1,5,I am holding a salary account  in SBI for more than 14 years. There is no hidden charges in this bank. It is a  zero balance account. I am using net banking and it is user friendly to access. I use to get an alert messages from bank whenever I do a transactions. I am not getting much offers from this bank.,positive
"Mar 08, 2020",Axis Bank,0,5,Axis bank sales executive came to my company and opened a salary account for me. Its been 2 years and am using as zero balance account. Their net banking facility is best and its easy to access the mobile app too. I get a notification immediately whenever I'm doing the transaction. I never visited their branch till now but their call centre response is good.,positive
"Mar 08, 2020",HDFC Bank,0,5,I am holding a salary account in HDFC for more than one year. There is no hidden charges in this bank. It is a zero balance account. I am using mobile app and it is user friendly to access. On quarterly basis charges are applicable of 30 rupees for SMS charges and ATM charge is applicable of if I use more than 5 times in a month.,positive
"Mar 07, 2020",HDFC Bank,0,5,My company has given option to maintain my salary account in HDFC bank. I have been holding this account for 10 years. There is no hidden charges. I can do minimum transaction amount of 5K which is low and need to maintain minimum of  150 rupees. Atm and branches are near. Mobile app  and net banking are user friendly to access . I get alert message from bank whenever I do a transaction.,positive
"Mar 07, 2020",Punjab National Bank,15,5,"Recently i have taken PNB savings account, they told me to maintain a balance of Rs. 1500 even though I'm maintaining minimum balance, they are deducting lots of hidden charges . ATM and branch is near to my home, Their customer service is giving proper response.",positive
"Mar 06, 2020",SBI,0,4,"I am using SBI salary account which ,i am having more than 10 years .The transactions are done frequently and using net banking and mobile banking service it is very much user friendly.I am using both the service for credit card bill payment.Each transaction is safe and secure and ,i am satisfied with the service.",positive
"Mar 06, 2020",HDFC Bank,0,4.5,My company gave me a salary account from HDFC and i have opened the account in the year of May 2015. Its a zero balance account to use. Its good to use the Internet banking and mobile app facility. I have visited their branch once because of changing my net banking pin and the response is superb. They do not take any extra charges from customer's account without customer's knowledge.,positive
"Mar 06, 2020",HDFC Bank,0,5,I am using HDFC savings account almost 3 years before. I need to maintain a minimum balance of Rs. 5000. The branch is nearby  my office hence I chosen this bank. Staff response is really good. They don't deduct any hidden charges but they will charge for non balance maintenance like if less than 50% from the required balance they charge Rs. 500.,positive
"Mar 05, 2020",Kotak,2,4,"I opened my savings account from Kotak Mahindra bank its because of the maintenance of zero balance. For my savings purpose, I have chosen this account but I'm not doing much transaction from this account. I am not using their online banking facility and mobile app. I availed the account on last 5 months back.",positive
"Mar 05, 2020",HDFC Bank,0,4,I am using my salary account from HDFC bank for almost 2 years. Its a zero balance account to use. I have experienced of their net banking facility which is good to use but i have not tried mobile app. I'm receiving an OTP immediately whenever I'm doing an online transaction. They don't deduct any kind of additional charges.,positive
"Mar 05, 2020",HDFC Bank,0,5,Opened my salary account with HDFC in the year of 2012 because my company has provided this account to me. Its a zero balance account to have. Its excellent to use the net banking and mobile app facility. Some time i went to the HDFC branch for converting my old cash to new one and for a transaction issue but response was not that good.,positive
"Mar 05, 2020",Axis Bank,0,3,I am using the salary account from Axis bank for more than 2 years because my company has provided me this account. I don't need to hold any minimum balance. I'm not using an Internet banking and mobile app facility because of the safe and security. They have not taken any additional charges from my account.,neutral
"Mar 05, 2020",HDFC Bank,0,5,"I have HDFC Bank salary account which i am  using for the past 5 years from 2015 onward ,net banking mostly use  for money transfer and  credit card bill payment as well. The transaction  is very safe and banking service is much comfortable  pretty good .",positive
"Mar 05, 2020",SBI,0,4,"I am using the salary account with State Bank of India more than 10 year. But there is no proper response from the call centre people and not good response from branch also. Regarding some transaction detail, I called the banker but they asking the customer to wait for a long time. They don't deduct any hidden charges.",positive
"Mar 05, 2020",SBI,0,4,SBI gives attractive interest rate to the customer so that i have chosen the savings account from SBI. I'm using this account for last 10 years. Its very convenient to use the net banking facility and i've downloaded the YONO app in my phone. I'm not maintaining any minimum balance on this account but they are not charging any amount for that. They will deduct only Rs. 150 for the ATM debit card on a yearly basis.,positive
"Mar 04, 2020",Citibank,1,4.5,"I am using Citi bank salary account  for the past 3 years and their net banking is used for NEFT transfer and mobile banking for UPI payments. If have any query, I will contact customer service they are  giving good response and rectifying the issues.  Banking  service was much  satisfied. There was no fraudulent transaction happened so far.",positive
"Mar 04, 2020",SBI,0,5,"From State Bank of India, i am having a savings account. Here, I am maintaining a minimum balance of Rs.3,000 every month. ATM service is good, whenever i withdraw cash, am getting alert messages. Customer service and responsiveness was good.",positive
"Mar 04, 2020",SBI,0,5,"To apply for a car loan I have opened saving account in SBI on 4 years back. I use this account only to do EMI payment for the loan. Need to maintain a minimum balance of 3K if not some charge is applicable. Since its National bank, this account can be used all over India and useful too.",positive
"Mar 03, 2020",SBI,0,5,I have SBI salary account which is very user friendly. Each transaction is very safe and secured on banking service. Need to maintain minimum balance of Rs.  500 or 1000. Customer service and responsiveness was good. Mostly i will go to the branch directly for any issues.,positive
"Mar 03, 2020",Citibank,1,5,"I am holding a salary account with CITI Bank for past 2.5  years. There is no hidden charges in this bank. I use to get an alert messages from bank whenever I do a transactions. Mostly I use for online transactions, i opted whatsapp also and getting messages.",positive
"Mar 03, 2020",Axis Bank,1,4,I have Axis Bank salary account for the past 8 years .I am using net banking service as well as mobile banking service it is very user friendly .I am mostly using both the service for online payment and money transfer and for credit card bill payment. Each transaction is safe and secured also service is good and getting good response .,positive
"Mar 03, 2020",Axis Bank,1,4,There is a lots of consultation of charges so i have closed the Axis bank savings account. They are charging for non balance maintenance if am not maintaining 1K from my savings account. Banking service has been good. Staffs were very helpful when i went to the branch for closing my savings account.,positive
"Mar 03, 2020",SBI,1,5,"My salary account is with State Bank of India, they don't take any hidden charges. Earlier it was a salary account and after that i have converted into savings account hence now i don't need to maintain any minimum balance. I use their Internet banking which is fair to use. There is no additional charges for other ATM withdrawal because of salary account, i can do unlimited withdrawal.",positive
"Mar 03, 2020",Punjab National Bank,4,5,"I am using Punjab National Bank  salary account for the past 6 years only ,I will be getting message alert as well as email alert for all transactions . Banking service  is very good  and customer service is much satisfied as well. Each and every transaction is done frequently and there was  no fraudulent transactions happened so far .",positive
"Mar 03, 2020",Kotak,0,5,I am holding savings account from KOTAK Bank. This is a salary comes savings so no need to maintain minimum balance. Kotak bank has very good application and there is a no debit card charges. Customer service and response they are giving proper reply.,positive
"Mar 03, 2020",SBI,0,5,"From SBI, i am using savings account more than 20 years . There is no requirement for minimum balance when i was in college my father opened this account for me and i am still using this account. Every shopping, cash withdrawal i am getting messages instantly and atm service is near to my residence.",positive
"Mar 03, 2020",Axis Bank,0,4,I am using Axis bank Saving  account  for the past 2 years This net banking  service as well as mobile app  is used for money transfer upto 2lakhs during emergency purpose and also can track all the transaction. It  is very safe and secure  and fraudulent transactions are not happened . The customer service  is also good and getting good  response .,positive
"Mar 03, 2020",Axis Bank,0,5,My salary account was opened 4 years before and I have selected the Axis bank because they are treating the customer in a satisfactory way. Their net banking was good and the website is easy to understand and customer friendly. They don't deduct any kind of hidden charges. Usually i am visiting the bank and the staffs are very responsive and well mannered.,positive
"Mar 03, 2020",SBI,0,5,I have been holding my savings account with State Bank of India for almost 12 years. Its not required to maintain any minimum balance. Their mobile app facility is really good. I have visited their branch sometimes to give a request for changing of my address and the response is good. Branch is not that much crowded.,positive
"Mar 03, 2020",Kotak,0,5,I have chosen the savings account from Kotak Mahindra bank and i am using this account from last 3 years. There is a no requirement for minimum balance. ATM services are near to my residence. Whenever i do shopping i will be getting alert messages.,positive
"Mar 02, 2020",SBI,4,1.5,"I want to opne sieving account  .  
 .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .",negative
